iter	Passed	Remaining
437	1237	1588
438	1239	1583
439	1240	1578
440	1241	1574
441	1243	1569
442	1249	1571
443	1250	1566
444	1252	1561
445	1253	1556
446	1255	1553
447	1256	1548
448	1257	1543
449	1258	1538
450	1265	1540
451	1267	1536
452	1268	1532
453	1271	1528
454	1272	1524
455	1274	1519
456	1280	1520
457	1281	1516
458	1282	1511
459	1283	1507
460	1285	1503
461	1287	1498
462	1288	1494
463	1289	1489
464	1293	1487
465	1294	1483
466	1295	1479
467	1297	1474
468	1298	1469
469	1299	1465
470	1300	1460
471	1301	1455
472	1302	1451
473	1303	1446
474	1307	1445
475	1309	1441
476	1310	1436
477	1311	1432
478	1312	1428
479	1314	1423
480	1315	1418
481	1316	1414
482	1317	1410
483	1318	1405
484	1323	1404
485	1324	1400
486	1325	1396
487	1326	1391
488	1327	1387
489	1328	1383
490	1329	1378
491	1330	1374
492	1332	1370
493	1333	1365
494	1337	1364
495	1338	1360
496	1339	1355
497	1340	1351
498	1342	1347
499	1343	1343
500	1344	1338
501	1346	1335
502	1347	1331
503	1349	1327
504	1353	1326
505	1354	1322
506	1356	1318
507	1357	1314
508	1358	1310
509	1359	1306
510	1360	1302
511	1361	1298
512	1363	1294
513	1364	1289
514	1367	1288
515	1369	1284
516	1370	1280
517	1372	1277
518	1374	1274
519	1376	1270
520	1377	1266
521	1378	1262
522	1381	1260
523	1384	1257
524	1386	1254
525	1387	1250
526	1389	1246
527	1390	1242
528	1391	1238
529	1392	1235
530	1397	1234
531	1400	1231
532	1401	1228
533	1403	1224
534	1405	1221
535	1407	1218
536	1412	1218
537	1416	1216
538	1417	1212
539	1419	1209
540	1420	1205
541	1422	1202
542	1424	1199
543	1428	1197
544	1430	1194
545	1431	1190
546	1435	1188
547	1437	1185
548	1439	1182
549	1445	1182
550	1448	1180
551	1450	1176
552	1451	1173
553	1453	1170
554	1455	1166
555	1456	1163
556	1458	1159
557	1461	1157
558	1462	1153
559	1463	1150
560	1465	1146
561	1469	1145
562	1471	1142
563	1472	1138
564	1476	1136
565	1478	1133
566	1485	1134
567	1491	1134
568	1492	1130
569	1494	1127
570	1496	1124
571	1500	1123
572	1502	1119
573	1505	1117
574	1507	1113
575	1508	1110
576	1531	1123
577	1534	1120
578	1545	1123
579	1551	1123
580	1553	1120
581	1556	1117
582	1558	1114
583	1560	1111
584	1565	1110
585	1567	1107
586	1569	1104
587	1571	1100
588	1573	1097
589	1575	1095
590	1585	1096
591	1586	1093
592	1588	1090
593	1589	1086
594	1591	1083
595	1597	1082
596	1598	1079
597	1600	1075
598	1601	1072
599	1603	1069
600	1605	1065
601	1609	1064
602	1612	1061
603	1614	1058
604	1615	1054
605	1617	1051
606	1619	1048
607	1621	1045
608	1623	1042
609	1626	1039
610	1628	1036
611	1630	1033
612	1633	1031
613	1635	1028
614	1637	1025
615	1641	1023
616	1643	1020
617	1644	1016
618	1646	1013
619	1648	1010
620	1650	1007
621	1652	1003
622	1656	1002
623	1657	998
624	1659	995
625	1660	991
626	1661	988
627	1662	984
628	1664	981
629	1665	978
630	1667	974
631	1671	973
632	1673	970
633	1675	967
634	1679	965
635	1680	961
636	1682	958
637	1683	955
638	1688	954
639	1690	951
640	1692	947
641	1693	944
642	1694	940
643	1696	937
644	1697	934
645	1699	931
646	1701	928
647	1702	924
648	1703	921
649	1705	918
650	1706	914
651	1707	911
652	1708	907
653	1709	904
654	1711	901
655	1712	897
656	1714	895
657	1715	891
658	1717	888
659	1718	885
660	1719	881
661	1720	878
662	1721	875
663	1723	871
664	1724	868
665	1725	865
666	1726	862
667	1730	859
668	1731	856
669	1732	853
670	1734	850
671	1735	847
672	1736	843
673	1738	840
674	1739	837
675	1740	834
676	1741	830
677	1742	827
678	1745	825
679	1747	822
680	1748	819
681	1749	815
682	1750	812
683	1752	809
684	1753	806
685	1754	803
686	1755	799
687	1757	796
688	1760	794
689	1762	791
690	1763	788
691	1764	785
692	1765	782
693	1767	779
694	1769	776
695	1770	773
696	1771	770
697	1772	766
698	1775	764
699	1776	761
700	1777	758
701	1779	755
702	1780	752
703	1781	748
704	1782	745
705	1783	742
706	1784	739
707	1785	736
708	1787	733
709	1789	730
710	1791	728
711	1793	725
712	1795	722
713	1796	719
714	1798	716
715	1800	714
716	1802	711
717	1806	709
718	1808	706
719	1809	703
720	1814	701
721	1815	699
722	1817	696
723	1822	694
724	1824	692
725	1826	689
726	1828	686
727	1830	683
728	1831	680
729	1832	677
730	1833	674
731	1837	672
732	1839	669
733	1840	667
734	1843	664
735	1844	661
736	1845	658
737	1846	655
738	1848	652
739	1851	650
740	1853	647
741	1854	644
742	1856	642
743	1858	639
744	1860	636
745	1861	633
746	1862	630
747	1864	628
748	1866	625
749	1867	622
750	1868	619
751	1869	616
752	1871	613
753	1872	610
754	1873	607
755	1874	605
756	1875	602
757	1877	599
758	1880	596
759	1881	594
760	1882	591
761	1883	588
762	1884	585
763	1886	582
764	1888	580
765	1889	577
766	1891	574
767	1894	572
768	1895	569
769	1896	566
770	1898	563
771	1899	560
772	1900	558
773	1901	555
774	1902	552
775	1903	549
776	1905	546
777	1906	543
778	1909	541
779	1912	539
780	1914	536
781	1915	533
782	1916	531
783	1918	528
784	1919	525
785	1920	522
786	1922	520
787	1926	518
788	1929	516
789	1931	513
790	1932	510
791	1935	508
792	1936	505
793	1938	502
794	1939	500
795	1940	497
796	1941	494
797	1943	491
798	1944	489
799	1945	486
800	1946	483
801	1947	480
802	1949	478
803	1950	475
804	1956	474
805	1958	471
806	1960	468
807	1961	466
808	1965	464
809	1974	463
810	1977	460
811	1979	458
812	1980	455
813	1981	452
814	1985	450
815	1986	448
816	1988	445
817	1990	442
818	1994	440
819	1995	438
820	1997	435
821	2003	433
822	2006	431
823	2008	428
824	2009	426
825	2010	423
826	2012	420
827	2013	418
828	2015	415
829	2017	413
830	2019	410
831	2022	408
832	2024	405
833	2029	403
834	2031	401
835	2033	398
836	2034	396
837	2037	393
838	2045	392
839	2046	389
840	2048	387
841	2050	384
842	2051	382
843	2053	379
844	2055	377
845	2059	374
846	2061	372
847	2063	369
848	2064	367
849	2066	364
850	2068	362
851	2069	359
852	2071	356
853	2074	354
854	2076	352
855	2077	349
